,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,crs_arr_time,dup,crs_elapsed_time,flights,distance,total_delay,Season,Weekday,month,peak_season,dep_taxi_ind,arr_taxi_ind,carriers_lateness_ind,airtime_ind,orig_airp_fl_ind,dest_airp_fl_ind,orig_airp_pss_ind,dest_airp_pss_ind,dep_weather,dep_weather_rank,arr_weather,arr_weather_rank
5816,2018-04-02,WN,WN,WN,3556,WN,N8534Z,3556,15304,TPA,"Tampa, FL",12889,LAS,"Las Vegas, NV",515,715,N,300,1,1984,0.0,2,0,4,1,0.0277466347382224,0.0553030528955235,-0.0372526735518979,0.0282516365277256,0.0099,0.02098,0.0093683119540198,0.0159352832702946,Patchy rain possible,1,Partly cloudy,1
46325,2019-11-08,AA,AA_CODESHARE,AA,4118,MQ,N848AE,4118,11057,CLT,"Charlotte, NC",11067,CMI,"Champaign/Urbana, IL",1805,1908,N,123,1,522,35.0,4,4,11,0,0.0596586901976398,0.0561961036229004,-0.0014495905267393,0.3502657166116329,0.03218,0.00034,0.0191528138586407,0.0002692043664948,Sunny,1,Patchy rain possible,1
7053,2018-04-21,WN,WN,WN,4430,WN,N8627B,4430,14679,SAN,"San Diego, CA",12889,LAS,"Las Vegas, NV",1410,1520,N,70,1,258,0.0,2,5,4,1,0.0555247035724447,0.059419307466565,-0.0372526735518979,0.2134239483384708,0.01276,0.02098,0.0080282126176086,0.0159352832702946,Partly cloudy,1,Sunny,1
34685,2019-05-28,UA,UA,UA,264,UA,N14250,264,11292,DEN,"Denver, CO",14771,SFO,"San Francisco, CA",1053,1241,N,168,1,967,0.0,2,1,5,1,0.0595136097545641,0.0578661407231937,0.055915695644676,0.2253118320878343,0.0344,0.02218,0.0307716743165574,0.0179365485308171,Patchy light rain with thunder,1,Sunny,1
3507,2018-02-27,UA,UA_CODESHARE,UA,4804,C5,N33182,4804,11618,EWR,"Newark, NJ",10785,BTV,"Burlington, VT",1133,1255,N,82,1,266,0.0,1,1,2,0,0.0581659736388834,0.0578661407231937,0.055915695644676,0.3502657166116329,0.02008,0.00142,0.022154442545058,0.0014429354044122,Sunny,1,Partly cloudy,1
29291,2019-03-13,DL,DL_CODESHARE,DL,5890,YX,N207JQ,5890,12953,LGA,"New York, NY",11066,CMH,"Columbus, OH",1800,1959,N,119,1,479,0.0,2,2,3,1,0.0596586901976398,0.0561961036229004,-0.019545193431566,0.3502657166116329,0.0205,0.00632,0.0116398583985032,0.0053410146312573,Overcast,2,Cloudy,2
34931,2019-06-01,UA,UA_CODESHARE,UA,4119,EV,N12166,4119,11618,EWR,"Newark, NJ",14524,RIC,"Richmond, VA",1815,1949,N,94,1,277,0.0,3,5,6,2,0.0596586901976398,0.0561961036229004,0.055915695644676,0.3502657166116329,0.02008,0.00318,0.022154442545058,0.0033903597916358,Patchy rain possible,1,Patchy rain possible,1
25907,2019-01-21,NK,NK,NK,713,NK,N682NK,713,13204,MCO,"Orlando, FL",12266,IAH,"Houston, TX",1231,1412,N,161,1,854,0.0,1,0,1,0,0.0578661407231937,0.0555247035724447,-0.0136902324244572,0.2253118320878343,0.01688,0.02232,0.0162459451092296,0.024859946428331,Sunny,1,Overcast,2
13720,2018-07-26,WN,WN,WN,2392,WN,N8660A,2392,12889,LAS,"Las Vegas, NV",14771,SFO,"San Francisco, CA",2235,10,N,95,1,414,26.0,3,3,7,2,0.0324335390520282,0.0081567449106989,-0.0372526735518979,0.3502657166116329,0.02098,0.02218,0.0159352832702946,0.0179365485308171,Patchy rain possible,1,Partly cloudy,1
27287,2019-02-11,AA,AA_CODESHARE,AA,2962,OO,N755EV,2962,11057,CLT,"Charlotte, NC",14730,SDF,"Louisville, KY",920,1054,N,94,1,335,0.0,1,0,2,0,0.0623523504240782,0.0595136097545641,-0.0014495905267393,0.3502657166116329,0.03218,0.00366,0.0191528138586407,0.0106944126633734,Light rain,1,Moderate rain,2
11737,2018-06-28,AS,AS,AS,1942,AS,N927VA,1942,14771,SFO,"San Francisco, CA",12892,LAX,"Los Angeles, CA",559,725,N,86,1,337,17.0,3,3,6,2,0.0277466347382224,0.0553030528955235,-0.0257496334476613,0.3502657166116329,0.02218,0.03138,0.0179365485308171,0.0281270106201122,Sunny,1,Sunny,1
13241,2018-07-20,UA,UA,UA,641,UA,N77430,641,12264,IAD,"Washington, DC",10721,BOS,"Boston, MA",825,954,N,89,1,413,0.0,3,4,7,2,0.0660930078480459,0.0623523504240782,0.055915695644676,0.3502657166116329,0.01252,0.01854,0.0142279891779844,0.0142619089281628,Overcast,2,Sunny,1
43408,2019-09-28,AS,AS,AS,1653,AS,N282VA,1653,12892,LAX,"Los Angeles, CA",14747,SEA,"Seattle, WA",600,855,N,175,1,954,0.0,4,5,9,0,0.0486011424278889,0.0660930078480459,-0.0257496334476613,0.2253118320878343,0.03138,0.024,0.0281270106201122,0.017266229658245,Light rain shower,1,Moderate rain,2
21913,2018-11-22,AA,AA_CODESHARE,AA,3944,MQ,N842AE,3944,14952,SPI,"Springfield, IL",11298,DFW,"Dallas/Fort Worth, TX",557,810,N,133,1,630,0.0,4,3,11,0,0.0277466347382224,0.0660930078480459,-0.0014495905267393,0.2253118320878343,0.00016,0.03598,0.0002659739140968,0.0232829472494043,Sunny,1,Sunny,1
43532,2019-09-30,UA,UA_CODESHARE,UA,5380,OO,N958SW,5380,12896,LBB,"Lubbock, TX",11292,DEN,"Denver, CO",610,650,N,100,1,456,0.0,4,0,9,0,0.0486011424278889,0.0486011424278889,0.055915695644676,0.3502657166116329,0.00092,0.0344,0.0011796535339803,0.0307716743165574,Overcast,2,Sunny,1
31352,2019-04-11,DL,DL_CODESHARE,DL,6222,G7,N184GJ,6222,13577,MYR,"Myrtle Beach, SC",11433,DTW,"Detroit, MI",1112,1315,N,123,1,636,0.0,2,3,4,1,0.0581659736388834,0.0540440770506113,-0.019545193431566,0.3502657166116329,0.00144,0.02234,0.0019113510021132,0.0236512188227693,Partly cloudy,1,Patchy heavy snow,1
44708,2019-10-16,UA,UA_CODESHARE,UA,5454,OO,N105SY,5454,10599,BHM,"Birmingham, AL",11292,DEN,"Denver, CO",1557,1805,N,188,1,1083,0.0,4,2,10,0,0.059419307466565,0.0596586901976398,0.055915695644676,0.1018549855022089,0.00254,0.0344,0.0023576918417616,0.0307716743165574,Light rain,1,Sunny,1
18754,2018-10-06,WN,WN,WN,541,WN,N932WN,541,10140,ABQ,"Albuquerque, NM",12191,HOU,"Houston, TX",1510,1810,N,120,1,759,112.0,4,5,10,0,0.059419307466565,0.0596586901976398,-0.0372526735518979,0.3502657166116329,0.00334,0.00716,0.0036148762332925,0.0047918377236078,Partly cloudy,1,Patchy rain possible,1
34603,2019-05-27,UA,UA_CODESHARE,UA,6184,YV,N86336,6184,12266,IAH,"Houston, TX",14193,PNS,"Pensacola, FL",1625,1800,N,95,1,489,0.0,2,0,5,1,0.0564782044844364,0.0596586901976398,0.055915695644676,0.3502657166116329,0.02232,0.00134,0.024859946428331,0.0012657989312586,Cloudy,2,Sunny,1
189,2018-01-03,WN,WN,WN,1346,WN,N415WN,1346,13796,OAK,"Oakland, CA",12892,LAX,"Los Angeles, CA",2030,2150,N,80,1,337,0.0,1,2,1,0,0.0532356565816952,0.0430260234014754,-0.0372526735518979,0.3502657166116329,0.00674,0.03138,0.0067801811745386,0.0281270106201122,Light rain shower,1,Partly cloudy,1
2093,2018-02-04,AA,AA_CODESHARE,AA,3653,MQ,N687JS,3653,11298,DFW,"Dallas/Fort Worth, TX",11867,GCK,"Garden City, KS",2050,2221,N,91,1,404,0.0,1,6,2,0,0.0532356565816952,0.0324335390520282,-0.0014495905267393,0.3502657166116329,0.03598,6e-05,0.0232829472494043,0.0001206035561896,Cloudy,2,Heavy snow,3
20407,2018-10-31,B6,B6,B6,512,B6,N796JB,512,10423,AUS,"Austin, TX",11697,FLL,"Fort Lauderdale, FL",1146,1519,N,153,1,1105,45.0,4,2,10,0,0.0581659736388834,0.059419307466565,0.0271423089156718,0.2253118320878343,0.00808,0.01284,0.0079469128989272,0.0139690145774164,Torrential rain shower,3,Partly cloudy,1
